recommendationid,appid,game_name,language,review_datetime,release_date,days_from_release,release_period,release_period_detail,steam_label_text,voted_up,playtime_at_review_hours,playtime_stage,votes_up,weighted_vote_score,received_for_free,written_during_early_access,price,price_group,genres_text,categories_text,top_steam_tags_text,review_text_for_llm,is_meaningful_review,meaningless_reason,source_run
162551168,1309950,Children of the Sun,english,2024-04-09 16:16:12,2024-04-09,0,D0-D30,D0-D7,positive,1.0,0.4333333333333333,very_early,7,0.5586898922920227,0.0,0.0,14.99,10-20,"Action, Indie, Strategy","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Action, Strategy, Arcade, Shooter, Real Time Tactics, Psychedelic, Stylized, Third-Person Shooter, 3D, Indie","Man i love the Art Style!
Great Music and Atmosphere.
The Bullet goes on a Trip!

extra + for 21:9 support",1.0,meaningful,children_of_the_sun
162551849,1309950,Children of the Sun,english,2024-04-09 16:27:50,2024-04-09,0,D0-D30,D0-D7,positive,1.0,0.5333333333333333,early,3,0.4766794741153717,0.0,0.0,14.99,10-20,"Action, Indie, Strategy","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Action, Strategy, Arcade, Shooter, Real Time Tactics, Psychedelic, Stylized, Third-Person Shooter, 3D, Indie","Great game that's definitely made by weirdos. Just killed a man, and now I'm horny.",1.0,meaningful,children_of_the_sun
162552645,1309950,Children of the Sun,english,2024-04-09 16:41:02,2024-04-09,0,D0-D30,D0-D7,positive,1.0,1.2,early,28,0.7350374460220337,0.0,0.0,14.99,10-20,"Action, Indie, Strategy","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Action, Strategy, Arcade, Shooter, Real Time Tactics, Psychedelic, Stylized, Third-Person Shooter, 3D, Indie","A short (but sweet) puzzle shooter that incorporates elements from Sniper Elite, Mandy, and Killer7. You'll be playing (and replaying) multiple levels where you'll need to find the optimal trajectory to kill everyone and reach the top of the leaderboard. If that sounds like your cup of tea, you'll have a blast playing this game.",1.0,meaningful,children_of_the_sun
162552871,1309950,Children of the Sun,english,2024-04-09 16:44:51,2024-04-09,0,D0-D30,D0-D7,positive,1.0,0.4166666666666667,very_early,77,0.7562122344970703,0.0,0.0,14.99,10-20,"Action, Indie, Strategy","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Action, Strategy, Arcade, Shooter, Real Time Tactics, Psychedelic, Stylized, Third-Person Shooter, 3D, Indie","Killer7 + Sniper Elite on crack. ✔️
[spoiler]Amazing art style, simple but satisfying gameplay.
Fairly priced, easy recommendation from me.[/spoiler]",1.0,meaningful,children_of_the_sun
162556466,1309950,Children of the Sun,english,2024-04-09 17:41:22,2024-04-09,0,D0-D30,D0-D7,positive,1.0,1.7666666666666666,early,4,0.5832236409187317,0.0,0.0,14.99,10-20,"Action, Indie, Strategy","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Action, Strategy, Arcade, Shooter, Real Time Tactics, Psychedelic, Stylized, Third-Person Shooter, 3D, Indie","Everyting is good, except the controls to some extent. Do the tutorials place and read properly, I was a moron myself and missed the ""SINGLE RIGHT CLICK"" prompted in RED and got confused like a absolute sack of ♥♥♥♥. Either way good game.",1.0,meaningful,children_of_the_sun
162557723,1309950,Children of the Sun,english,2024-04-09 18:05:33,2024-04-09,0,D0-D30,D0-D7,positive,1.0,0.5,early,7,0.543179988861084,0.0,0.0,14.99,10-20,"Action, Indie, Strategy","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Action, Strategy, Arcade, Shooter, Real Time Tactics, Psychedelic, Stylized, Third-Person Shooter, 3D, Indie",If Ape Out and Sniper Elite had a baby that was a distant cousin with the Gorrilaz.,1.0,meaningful,children_of_the_sun
162562122,1309950,Children of the Sun,english,2024-04-09 19:28:30,2024-04-09,0,D0-D30,D0-D7,positive,1.0,0.6,early,0,0.5,0.0,0.0,14.99,10-20,"Action, Indie, Strategy","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Action, Strategy, Arcade, Shooter, Real Time Tactics, Psychedelic, Stylized, Third-Person Shooter, 3D, Indie","Good short game for what it is worth. And the story told with pictures and audio, instead of words is pretty fun too.",1.0,meaningful,children_of_the_sun
162562642,1309950,Children of the Sun,english,2024-04-09 19:38:57,2024-04-09,0,D0-D30,D0-D7,positive,1.0,0.2,very_early,0,0.5,0.0,0.0,14.99,10-20,"Action, Indie, Strategy","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Action, Strategy, Arcade, Shooter, Real Time Tactics, Psychedelic, Stylized, Third-Person Shooter, 3D, Indie","Loved the demo so bought this straight away today, however, there are some bugs when it comes to loading levels; just freezing for me on steam deck… look forward to the update!",1.0,meaningful,children_of_the_sun
162564482,1309950,Children of the Sun,english,2024-04-09 20:15:24,2024-04-09,0,D0-D30,D0-D7,positive,1.0,2.283333333333333,mid,13,0.6587597131729126,0.0,0.0,14.99,10-20,"Action, Indie, Strategy","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Action, Strategy, Arcade, Shooter, Real Time Tactics, Psychedelic, Stylized, Third-Person Shooter, 3D, Indie","René Rother cooked up a crazy fun game combining Far Cry enemy tagging, Clive Barker's Jericho bullet bending and Killer7 style and animation, some might even see it as SUPERHOT and Sniper Elite's baby — despite all of the parallels, this isn't just a frankenstein of cool features, it's a wholly unique puzzle shooter that looks, sounds, feels and plays awesome.",1.0,meaningful,children_of_the_sun
162564863,1309950,Children of the Sun,english,2024-04-09 20:22:46,2024-04-09,0,D0-D30,D0-D7,positive,1.0,4.05,mid,0,0.5,0.0,0.0,14.99,10-20,"Action, Indie, Strategy","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Action, Strategy, Arcade, Shooter, Real Time Tactics, Psychedelic, Stylized, Third-Person Shooter, 3D, Indie","Very good puzzle game, very good killing game, very good dopamine game if you enjoy arcade high scores. Everything about this game is better experienced knowing nothing going into it, don't look up explanations, guides, or how the scoring system works. Trust me its much more fun figuring it all out on your own. This is a puzzle game after all",1.0,meaningful,children_of_the_sun
