analysis_status,recommendationid,appid,game_name,review_datetime,release_date,days_from_release,release_period,steam_label_text,playtime_at_review_hours,votes_up,weighted_vote_score,llm_sentiment,sentiment_score,llm_primary_issue,llm_issue_tags,llm_urgency_candidate,llm_review_summary,llm_suggested_action,steam_llm_sentiment_relation,source_run
success,162551168,1309950,Children of the Sun,2024-04-09 16:16:12,2024-04-09,0,D0-D30,positive,0.4333333333333333,7,0.5586898922920227,positive,5,positive_praise,"[{""category"": ""positive_praise"", ""sentiment"": ""positive"", ""evidence"": ""Art Style, Music, Atmosphere, 21:9 support are great.""}]",low,"아트 스타일, 음악, 분위기가 훌륭하며 21:9 울트라와이드 해상도를 지원하는 점에 만족함.","현재의 독특한 아트 스타일과 분위기를 유지하고, 향후 업데이트에서도 울트라와이드 해상도 지원을 지속적으로 관리할 것.",exact_match,children_of_the_sun
success,162551849,1309950,Children of the Sun,2024-04-09 16:27:50,2024-04-09,0,D0-D30,positive,0.5333333333333333,3,0.4766794741153717,positive,5,positive_praise,"[{""category"": ""positive_praise"", ""sentiment"": ""positive"", ""evidence"": ""Great game.""}]",low,게임이 매우 독특하고 재미있다는 긍정적인 평가.,현재의 독특한 게임 컨셉과 분위기를 유지하며 플레이어들에게 긍정적인 경험을 지속적으로 제공할 것.,exact_match,children_of_the_sun
success,162552645,1309950,Children of the Sun,2024-04-09 16:41:02,2024-04-09,0,D0-D30,positive,1.2,28,0.7350374460220337,positive,5,positive_praise,"[{""category"": ""positive_praise"", ""sentiment"": ""positive"", ""evidence"": ""Short but sweet puzzle shooter, fun gameplay loop.""}]",low,퍼즐 슈팅 게임으로서의 재미와 리플레이 가치를 높게 평가함.,"현재의 퍼즐 슈팅 메커니즘과 리플레이 가치를 강화하고, 리더보드 시스템이 원활하게 작동하도록 유지할 것.",exact_match,children_of_the_sun
success,162552871,1309950,Children of the Sun,2024-04-09 16:44:51,2024-04-09,0,D0-D30,positive,0.4166666666666667,77,0.7562122344970703,positive,5,positive_praise,"[{""category"": ""positive_praise"", ""sentiment"": ""positive"", ""evidence"": ""Amazing art style, simple but satisfying gameplay. Fairly priced.""}]",low,"Killer7와 Sniper Elite를 섞은 듯한 독특한 게임성, 훌륭한 아트 스타일과 만족스러운 게임 플레이를 갖춘 가성비 좋은 게임.",현재의 독특한 아트 스타일과 만족스러운 게임 플레이 루프를 유지 및 강화할 것.,exact_match,children_of_the_sun
success,162556466,1309950,Children of the Sun,2024-04-09 17:41:22,2024-04-09,0,D0-D30,positive,1.7666666666666666,4,0.5832236409187317,positive,4,control,"[{""category"": ""control"", ""sentiment"": ""negative"", ""evidence"": ""controls to some extent. missed the \""SINGLE RIGHT CLICK\"" prompted in RED""}]",medium,전반적으로 좋은 게임이나 조작법에 다소 아쉬움이 있음. 튜토리얼 안내가 명확하지 않다고 느낄 수 있음.,튜토리얼의 핵심 조작 안내(예: 우클릭)가 더 직관적으로 보이도록 UI/UX 가독성 개선 검토.,exact_match,children_of_the_sun
success,162557723,1309950,Children of the Sun,2024-04-09 18:05:33,2024-04-09,0,D0-D30,positive,0.5,7,0.543179988861084,positive,5,positive_praise,"[{""category"": ""positive_praise"", ""sentiment"": ""positive"", ""evidence"": ""If Ape Out and Sniper Elite had a baby that was a distant cousin with the Gorrilaz.""}]",low,"Ape Out, Sniper Elite, Gorillaz의 느낌을 결합한 독특한 분위기의 게임으로 긍정적인 평가.",게임의 독창적인 분위기와 스타일을 유지하며 마케팅에 활용할 것.,exact_match,children_of_the_sun
success,162562122,1309950,Children of the Sun,2024-04-09 19:28:30,2024-04-09,0,D0-D30,positive,0.6,0,0.5,positive,5,positive_praise,"[{""category"": ""positive_praise"", ""sentiment"": ""positive"", ""evidence"": ""Good short game, story told with pictures and audio is fun""}]",low,"짧지만 즐거운 게임이며, 텍스트 대신 그림과 오디오로 전달되는 스토리텔링 방식이 매력적임.",현재의 독특한 스토리텔링 방식과 짧고 강렬한 게임 플레이 경험을 유지 및 강화할 것.,exact_match,children_of_the_sun
success,162562642,1309950,Children of the Sun,2024-04-09 19:38:57,2024-04-09,0,D0-D30,positive,0.2,0,0.5,mixed,3,bug,"[{""category"": ""bug"", ""sentiment"": ""negative"", ""evidence"": ""freezing for me on steam deck when loading levels""}]",high,"데모를 즐기고 구매했으나, 스팀덱에서 레벨 로딩 시 프리징 현상이 발생함. 업데이트를 기대함.","스팀덱 환경에서의 레벨 로딩 프리징 이슈를 재현 및 수정하고, 스팀덱 호환성 최적화 패치 필요.",partial_match,children_of_the_sun
success,162564482,1309950,Children of the Sun,2024-04-09 20:15:24,2024-04-09,0,D0-D30,positive,2.283333333333333,13,0.6587597131729126,positive,5,positive_praise,"[{""category"": ""positive_praise"", ""sentiment"": ""positive"", ""evidence"": ""wholly unique puzzle shooter that looks, sounds, feels and plays awesome""}]",low,"다양한 게임의 장점을 결합했으면서도 독창적인 퍼즐 슈팅 게임으로, 시각적/청각적 요소와 게임 플레이가 매우 훌륭함.","게임의 독창적인 스타일과 퍼즐 슈팅 메커니즘의 완성도를 유지하며, 현재의 긍정적인 평가를 지속할 수 있도록 콘텐츠 업데이트 방향성 유지.",exact_match,children_of_the_sun
success,162564863,1309950,Children of the Sun,2024-04-09 20:22:46,2024-04-09,0,D0-D30,positive,4.05,0,0.5,positive,5,positive_praise,"[{""category"": ""positive_praise"", ""sentiment"": ""positive"", ""evidence"": ""퍼즐과 슈팅 요소가 결합된 도파민을 자극하는 게임 플레이가 매우 훌륭함""}, {""category"": ""gameplay_loop"", ""sentiment"": ""positive"", ""evidence"": ""스스로 알아가는 과정이 즐거운 퍼즐 게임 구조""}]",low,"퍼즐과 슈팅이 결합된 아케이드 게임으로, 공략 없이 스스로 알아가는 과정이 매우 즐겁고 중독성이 있음.","현재의 퍼즐 및 슈팅 메커니즘과 아케이드 점수 시스템의 재미를 유지하고, 플레이어가 스스로 탐구할 수 있는 게임 디자인을 강화할 것.",exact_match,children_of_the_sun
success,162568184,1309950,Children of the Sun,2024-04-09 21:33:29,2024-04-09,0,D0-D30,positive,5.533333333333333,1,0.5151515007019043,positive,4,positive_praise,"[{""category"": ""positive_praise"", ""sentiment"": ""positive"", ""evidence"": ""스토리와 게임 메커니즘이 준수함""}, {""category"": ""gameplay_loop"", ""sentiment"": ""positive"", ""evidence"": ""Sniper Elite와 유사한 게임 플레이 방식""}]",low,"스토리와 게임 메커니즘이 준수하며, Sniper Elite와 유사한 재미를 제공함.",플레이어들이 긍정적으로 평가한 스토리와 Sniper Elite 스타일의 메커니즘을 지속적으로 관리하고 홍보할 것.,exact_match,children_of_the_sun
success,162569651,1309950,Children of the Sun,2024-04-09 22:06:13,2024-04-09,0,D0-D30,positive,2.85,0,0.5,positive,5,positive_praise,"[{""category"": ""positive_praise"", ""sentiment"": ""positive"", ""evidence"": ""중독성 있는 게임 플레이와 적절한 난이도, 만족스러운 분량""}, {""category"": ""content_volume"", ""sentiment"": ""positive"", ""evidence"": ""게임이 짧지만 완벽한 분량이라고 느낌""}]",low,"중독성 있는 게임 플레이와 적절한 난이도를 갖춘 게임으로, 짧지만 만족스러운 분량과 반복 플레이 가치를 제공함.","현재의 난이도 밸런스와 게임 분량을 유지하고, 반복 플레이를 유도하는 도전 과제 시스템을 지속적으로 지원할 것.",exact_match,children_of_the_sun
success,162570423,1309950,Children of the Sun,2024-04-09 22:20:11,2024-04-09,0,D0-D30,positive,2.716666666666667,0,0.5,positive,5,positive_praise,"[{""category"": ""positive_praise"", ""sentiment"": ""positive"", ""evidence"": ""독특한 시각적 연출에 대한 긍정적 언급""}]",low,게임의 독특한 시각적 연출과 몰입감에 대해 긍정적으로 평가함.,현재의 독특한 아트 스타일과 연출을 유지 및 강화할 것.,exact_match,children_of_the_sun
success,162571032,1309950,Children of the Sun,2024-04-09 22:31:41,2024-04-09,0,D0-D30,positive,1.1833333333333331,0,0.4466019570827484,positive,5,positive_praise,"[{""category"": ""positive_praise"", ""sentiment"": ""positive"", ""evidence"": ""스나이퍼 퍼즐 게임으로서의 재미와 음악에 대한 긍정적 평가""}]",low,"게임의 재미와 음악, 분위기에 만족함.",현재의 게임 플레이 메커니즘과 사운드 디자인의 강점을 유지할 것.,exact_match,children_of_the_sun
success,162571039,1309950,Children of the Sun,2024-04-09 22:31:46,2024-04-09,0,D0-D30,positive,2.783333333333333,0,0.5,positive,5,positive_praise,"[{""category"": ""positive_praise"", ""sentiment"": ""positive"", ""evidence"": ""리더보드 경쟁 요소에 대한 높은 만족도와 게임의 짧지만 알찬 구성 언급""}]",low,리더보드 경쟁 요소가 게임의 리플레이 가치를 높여준다고 평가함.,"리더보드 시스템의 안정성을 유지하고, 향후 경쟁 요소나 도전 과제를 추가하여 리플레이 가치를 지속적으로 제공할 것.",exact_match,children_of_the_sun
