llm_issue_category,appid,game_name,issue_name_kor,affected_review_count,positive_review_count,negative_review_count,mixed_review_count,negative_mixed_review_count,steam_negative_review_count,high_urgency_review_count,high_urgency_negative_mixed_review_count,recent_30d_review_count,recent_30d_negative_mixed_review_count,early_playtime_negative_mixed_review_count,avg_playtime_at_review_hours,median_playtime_at_review_hours,high_urgency_rate,negative_mixed_rate,steam_negative_rate,recent_30d_negative_mixed_rate,action_group_hint,priority_candidate,rule_priority_hint,priority_selection_note,priority_rule_detail,priority_reason,patch_ops_note,source_run
gameplay_loop,1309950,Children of the Sun,게임플레이 루프,179,63,93,6,99,50,11,11,5,2,87,3.86,3.55,0.0615,0.5531,0.2793,0.4,단기 개선,상,상,절대 기준 '상' 후보 중 이번 게임 내 상대 우선순위 상위 6개로 유지,절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈,"영향 리뷰 179개, 부정·혼합 99개, Steam 비추천 맥락 50개, 최근 30일 부정·혼합 2개, 초반 플레이타임 부정·혼합 87개, High urgency 후보 11개(보조 참고), 절대 기준 후보 상, 규칙 근거: 절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈","반복 피로, 목표 구조, 보상 흐름을 점검하고 플레이 루프의 지루함을 줄인다.",children_of_the_sun
difficulty,1309950,Children of the Sun,난이도,97,18,46,4,50,10,4,4,1,1,37,5.01,3.93,0.0412,0.5155,0.1031,1.0,단기 개선,상,상,절대 기준 '상' 후보 중 이번 게임 내 상대 우선순위 상위 6개로 유지,절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈,"영향 리뷰 97개, 부정·혼합 50개, Steam 비추천 맥락 10개, 최근 30일 부정·혼합 1개, 초반 플레이타임 부정·혼합 37개, High urgency 후보 4개(보조 참고), 절대 기준 후보 상, 규칙 근거: 절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈",초반 진입 장벽과 후반 난이도 피로를 구분해 난이도 옵션 또는 안내를 보강한다.,children_of_the_sun
content_volume,1309950,Children of the Sun,콘텐츠 분량,208,25,52,4,56,13,2,2,1,0,40,4.12,3.81,0.0096,0.2692,0.0625,0.0,장기 검토,상,상,절대 기준 '상' 후보 중 이번 게임 내 상대 우선순위 상위 6개로 유지,절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈,"영향 리뷰 208개, 부정·혼합 56개, Steam 비추천 맥락 13개, 초반 플레이타임 부정·혼합 40개, High urgency 후보 2개(보조 참고), 절대 기준 후보 상, 규칙 근거: 절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈",콘텐츠 부족·반복성은 단기 패치보다 업데이트 로드맵 관점에서 검토한다.,children_of_the_sun
graphics_audio,1309950,Children of the Sun,그래픽/사운드,87,34,36,5,41,21,7,6,2,2,29,3.96,3.5,0.0805,0.4713,0.2414,1.0,장기 검토,상,상,절대 기준 '상' 후보 중 이번 게임 내 상대 우선순위 상위 6개로 유지,절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈,"영향 리뷰 87개, 부정·혼합 41개, Steam 비추천 맥락 21개, 최근 30일 부정·혼합 2개, 초반 플레이타임 부정·혼합 29개, High urgency 후보 7개(보조 참고), 절대 기준 후보 상, 규칙 근거: 절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈",그래픽/사운드가 몰입을 방해하는지와 강점으로 작동하는지를 함께 확인한다.,children_of_the_sun
price_value,1309950,Children of the Sun,가격/가치,58,13,27,3,30,13,0,0,1,0,27,3.39,3.43,0.0,0.5172,0.2241,0.0,장기 검토,상,상,절대 기준 '상' 후보 중 이번 게임 내 상대 우선순위 상위 6개로 유지,절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈,"영향 리뷰 58개, 부정·혼합 30개, Steam 비추천 맥락 13개, 초반 플레이타임 부정·혼합 27개, 절대 기준 후보 상, 규칙 근거: 절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈",가격 대비 만족도 불만이 반복되는지 확인하고 할인/번들/콘텐츠 가치 전달을 검토한다.,children_of_the_sun
story,1309950,Children of the Sun,스토리,65,14,22,1,23,11,0,0,0,0,15,4.04,4.03,0.0,0.3538,0.1692,0.0,장기 검토,상,상,절대 기준 '상' 후보 중 이번 게임 내 상대 우선순위 상위 6개로 유지,절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈,"영향 리뷰 65개, 부정·혼합 23개, Steam 비추천 맥락 11개, 초반 플레이타임 부정·혼합 15개, 절대 기준 후보 상, 규칙 근거: 절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈","서사 전달, 퀘스트 흐름, 엔딩/분기 만족도를 장기 개선 후보로 검토한다.",children_of_the_sun
ui_ux,1309950,Children of the Sun,UI/UX,33,3,27,1,28,7,6,6,2,2,20,4.92,3.25,0.1818,0.8485,0.2121,1.0,단기 개선,중,중,절대 기준상 '중' 후보로 분류,부정·혼합 맥락과 Steam 비추천 맥락이 일정 수준 확인,"영향 리뷰 33개, 부정·혼합 28개, Steam 비추천 맥락 7개, 최근 30일 부정·혼합 2개, 초반 플레이타임 부정·혼합 20개, High urgency 후보 6개(보조 참고), 절대 기준 후보 중, 규칙 근거: 부정·혼합 맥락과 Steam 비추천 맥락이 일정 수준 확인","메뉴, 인벤토리, 퀘스트 안내, 조작 안내 등 편의성 문제를 개선한다.",children_of_the_sun
control,1309950,Children of the Sun,조작감,30,5,20,1,21,7,5,5,0,0,14,4.14,3.29,0.1667,0.7,0.2333,0.0,단기 개선,중,중,절대 기준상 '중' 후보로 분류,부정·혼합 맥락과 Steam 비추천 맥락이 일정 수준 확인,"영향 리뷰 30개, 부정·혼합 21개, Steam 비추천 맥락 7개, 초반 플레이타임 부정·혼합 14개, High urgency 후보 5개(보조 참고), 절대 기준 후보 중, 규칙 근거: 부정·혼합 맥락과 Steam 비추천 맥락이 일정 수준 확인","이동, 전투, 상호작용 조작의 반응성과 키 설정 편의성을 점검한다.",children_of_the_sun
other,1309950,Children of the Sun,기타,38,2,11,0,11,6,2,2,0,0,10,3.06,2.88,0.0526,0.2895,0.1579,0.0,검토 필요,중,중,기타 이슈는 원인이 명확하지 않아 세부 리뷰 확인 대상으로 분리,기타 이슈는 원인 범주가 넓어 세부 리뷰 확인 대상으로 분리,"영향 리뷰 38개, 부정·혼합 11개, Steam 비추천 맥락 6개, 초반 플레이타임 부정·혼합 10개, High urgency 후보 2개(보조 참고), 절대 기준 후보 중, 규칙 근거: 기타 이슈는 원인 범주가 넓어 세부 리뷰 확인 대상으로 분리",세부 리뷰를 확인해 반복되는 하위 원인이 있는지 검토한다.,children_of_the_sun
bug,1309950,Children of the Sun,버그,10,0,10,0,10,4,6,6,0,0,8,4.31,3.47,0.6,1.0,0.4,0.0,즉시 확인,하,하,절대 기준상 하 또는 개선 우선순위 근거가 상대적으로 약함,반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함,"영향 리뷰 10개, 부정·혼합 10개, Steam 비추천 맥락 4개, 초반 플레이타임 부정·혼합 8개, High urgency 후보 6개(보조 참고), 절대 기준 후보 하, 규칙 근거: 반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함","반복 언급된 버그를 재현 가능성 기준으로 분류하고, 플레이 방해 수준이 큰 항목부터 수정한다.",children_of_the_sun
