recommendationid,appid,game_name,steam_label_text,llm_sentiment,llm_primary_issue,llm_urgency_candidate,release_period,playtime_at_review_hours,votes_up,weighted_vote_score,llm_issue_category,issue_name_kor,llm_issue_sentiment,llm_issue_evidence
144515690,571740,Golf It!,positive,positive,positive_praise,low,D0-D30,2.9166666666666665,6.0,0.5632224678993225,positive_praise,긍정 칭찬,positive,I love the game and now that its out of early acces it is even better.
144516841,571740,Golf It!,negative,negative,gameplay_loop,high,D0-D30,1.5333333333333334,2.0,0.4926004409790039,gameplay_loop,게임플레이 루프,negative,The way you hit the ball is too inconsistent in comparison to nearly every other golf game to ever exist.
144522911,571740,Golf It!,positive,mixed,bug,medium,D0-D30,1.0,0.0,0.5,bug,버그,negative,I was hitting the ball and not moving.
144522911,571740,Golf It!,positive,mixed,bug,medium,D0-D30,1.0,0.0,0.5,positive_praise,긍정 칭찬,positive,The game is INSANELY fun
144527817,571740,Golf It!,positive,positive,positive_praise,low,D0-D30,53.05,1.0,0.5,positive_praise,긍정 칭찬,positive,$9 가격 대비 풍부한 콘텐츠와 맵 메이커 기능에 만족함
144527817,571740,Golf It!,positive,positive,positive_praise,low,D0-D30,53.05,1.0,0.5,content_volume,콘텐츠 분량,positive,공식 맵과 워크숍 맵 등 선택지가 매우 많음
144536439,571740,Golf It!,positive,positive,positive_praise,low,D0-D30,131.21666666666667,1.0,0.5,positive_praise,긍정 칭찬,positive,개발자의 정성이 느껴지며 재플레이 가치가 높고 즐거운 경험을 제공함
144541515,571740,Golf It!,negative,negative,other,medium,D0-D30,14.083333333333334,1.0,0.3856563866138458,graphics_audio,그래픽/사운드,negative,경쟁작 대비 시각적 요소가 부족하다고 평가함
144541515,571740,Golf It!,negative,negative,other,medium,D0-D30,14.083333333333334,1.0,0.3856563866138458,gameplay_loop,게임플레이 루프,negative,경쟁작 대비 코스와 물리 엔진이 아쉽다고 평가함
144541515,571740,Golf It!,negative,negative,other,medium,D0-D30,14.083333333333334,1.0,0.3856563866138458,price_value,가격/가치,negative,경쟁작을 구매하는 것이 더 낫다고 언급함
144542683,571740,Golf It!,positive,positive,positive_praise,low,D0-D30,7.316666666666666,3.0,0.5153061151504517,positive_praise,긍정 칭찬,positive,"well made golfing game, enjoyable alone or with friends, community content"
144545071,571740,Golf It!,negative,negative,bug,high,D0-D30,0.3833333333333333,1.0,0.2747439742088318,bug,버그,negative,PAUSE menu doesn't actually pause the game timer in single player
144569166,571740,Golf It!,positive,positive,positive_praise,low,D0-D30,29.516666666666666,0.0,0.5,positive_praise,긍정 칭찬,positive,"fun game with friends, lots of custom content, level editor, new assets in 1.0 update"
144652684,571740,Golf It!,positive,positive,positive_praise,low,D0-D30,42.41666666666666,3.0,0.5,positive_praise,긍정 칭찬,positive,"unique entry, feels great, strong contender, amazingly skilled map making community"
144652684,571740,Golf It!,positive,positive,positive_praise,low,D0-D30,42.41666666666666,3.0,0.5,gameplay_loop,게임플레이 루프,positive,"manual power setting via mouse flick, skill check, custom hosting settings"
144702326,571740,Golf It!,positive,positive,positive_praise,low,D0-D30,22.35,0.0,0.5,positive_praise,긍정 칭찬,positive,"brilliant game, affordable, unlimited maps, easy to use map editor, no DLC"
144732940,571740,Golf It!,positive,positive,positive_praise,low,D0-D30,232.15,0.0,0.5,positive_praise,긍정 칭찬,positive,"Good controls, Multiplayer works flawlessly, Amazing workshop maps, Great map editor"
144732940,571740,Golf It!,positive,positive,positive_praise,low,D0-D30,232.15,0.0,0.5,control,조작감,negative,If you have a low dpi mouse some user made maps will be difficult
144737152,571740,Golf It!,positive,mixed,multiplayer_network,medium,D0-D30,16.983333333333334,0.0,0.5,multiplayer_network,멀티/네트워크,negative,1.0 Update broke the multiplayer. Friends are instantly disconnected.
144737152,571740,Golf It!,positive,mixed,multiplayer_network,medium,D0-D30,16.983333333333334,0.0,0.5,positive_praise,긍정 칭찬,positive,"best golf game currently available, well worth the money."
144745360,571740,Golf It!,positive,positive,positive_praise,low,D0-D30,131.83333333333334,1.0,0.523809552192688,positive_praise,긍정 칭찬,positive,It good. People should try this game if they have friends.
144761190,571740,Golf It!,negative,negative,ui_ux,high,D0-D30,32.5,5.0,0.5011842846870422,multiplayer_network,멀티/네트워크,negative,"matchmaking, joins a match that started which wastes times."
144761190,571740,Golf It!,negative,negative,ui_ux,high,D0-D30,32.5,5.0,0.5011842846870422,ui_ux,UI/UX,negative,ui is awful especially when selecting a server.
144761190,571740,Golf It!,negative,negative,ui_ux,high,D0-D30,32.5,5.0,0.5011842846870422,control,조작감,negative,"reset my putt settings which is annoying, feels off."
144811234,571740,Golf It!,negative,negative,gameplay_loop,high,D0-D30,24.433333333333334,8.0,0.5129172205924988,gameplay_loop,게임플레이 루프,negative,hitting the ball has changed so much regarding to how fast and hard you hit it
144944479,571740,Golf It!,negative,negative,graphics_audio,medium,D0-D30,0.2,0.0,0.4347825944423675,graphics_audio,그래픽/사운드,negative,sound of hitting the ball be bad
144944479,571740,Golf It!,negative,negative,graphics_audio,medium,D0-D30,0.2,0.0,0.4347825944423675,other,기타,negative,Everything else in my short time in the game was a poor experience
144971428,571740,Golf It!,positive,positive,positive_praise,low,D0-D30,82.4,0.0,0.5,positive_praise,긍정 칭찬,positive,1.0 update has closed the golfing wars. This is real golf.
145038825,571740,Golf It!,positive,positive,positive_praise,low,D0-D30,16.433333333333334,0.0,0.5,positive_praise,긍정 칭찬,positive,very funny game to play with your friends
145039654,571740,Golf It!,positive,mixed,content_volume,medium,D0-D30,36.65,1.0,0.5164942145347595,content_volume,콘텐츠 분량,negative,The water map is not good.
145039654,571740,Golf It!,positive,mixed,content_volume,medium,D0-D30,36.65,1.0,0.5164942145347595,positive_praise,긍정 칭찬,positive,The game on the other hand is great.
145079800,571740,Golf It!,positive,mixed,ui_ux,medium,D0-D30,64.08333333333333,2.0,0.502332329750061,ui_ux,UI/UX,negative,being kicked out of every server you join is quite annoying
145079800,571740,Golf It!,positive,mixed,ui_ux,medium,D0-D30,64.08333333333333,2.0,0.502332329750061,positive_praise,긍정 칭찬,positive,Fun game overall though.
145084871,571740,Golf It!,positive,positive,content_volume,low,D0-D30,19.766666666666666,0.0,0.5,content_volume,콘텐츠 분량,neutral,base game maps are good but there aren't that many
145084871,571740,Golf It!,positive,positive,content_volume,low,D0-D30,19.766666666666666,0.0,0.5,positive_praise,긍정 칭찬,positive,good workshop maps. base game maps are good too
145086607,571740,Golf It!,negative,negative,graphics_audio,medium,D0-D30,29.516666666666666,0.0,0.4365079402923584,graphics_audio,그래픽/사운드,negative,TAKE BACK THE OLD GRAPICHS AND OLD GAME IT SUCK NOW LOOKS LIKE A KIDS GAME
145105805,571740,Golf It!,negative,negative,control,high,D0-D30,0.2333333333333333,1.0,0.4947939813137054,control,조작감,negative,"refuses to read more than one controller, controller input lock issues, hotseat option fails to recognize controller"
145105805,571740,Golf It!,negative,negative,control,high,D0-D30,0.2333333333333333,1.0,0.4947939813137054,bug,버그,negative,Game is absolutely broken on Deck. Steam workshop browser locks out controller input.
145148608,571740,Golf It!,positive,positive,positive_praise,low,D0-D30,11.183333333333334,3.0,0.5250980854034424,positive_praise,긍정 칭찬,positive,friends in this game is incredible
145170702,571740,Golf It!,negative,negative,control,high,D0-D30,0.9666666666666668,0.0,0.4761904776096344,multiplayer_network,멀티/네트워크,negative,online lobby system has issues. Takes several resets to get my lobby to show up
145170702,571740,Golf It!,negative,negative,control,high,D0-D30,0.9666666666666668,0.0,0.4761904776096344,ui_ux,UI/UX,negative,levels are very cluttered causing you to hit thing you you weren't able to see
145170702,571740,Golf It!,negative,negative,control,high,D0-D30,0.9666666666666668,0.0,0.4761904776096344,control,조작감,negative,default way of hitting is frustratingly imprecise and the alternate way inst much better
145232563,571740,Golf It!,negative,negative,bug,high,D0-D30,0.8833333333333333,0.0,0.4761904776096344,bug,버그,negative,Too many glitches to be ale to play competitive
145232563,571740,Golf It!,negative,negative,bug,high,D0-D30,0.8833333333333333,0.0,0.4761904776096344,difficulty,난이도,negative,some holes are designed to piss you off
145235128,571740,Golf It!,positive,positive,positive_praise,low,D0-D30,70.71666666666667,0.0,0.5,positive_praise,긍정 칭찬,positive,Playing with friends is so fun.
145235128,571740,Golf It!,positive,positive,positive_praise,low,D0-D30,70.71666666666667,0.0,0.5,content_volume,콘텐츠 분량,positive,The game shines when you use the custom maps.
145281030,571740,Golf It!,positive,positive,positive_praise,low,D0-D30,12.483333333333333,0.0,0.5,positive_praise,긍정 칭찬,positive,dev team have really optimised it well now.
145288273,571740,Golf It!,negative,negative,other,low,D0-D30,58.5,0.0,0.4743157029151916,other,기타,negative,"if you thought Candy Crush was a fraud, this game is on another planet"
145299389,571740,Golf It!,positive,positive,positive_praise,low,D0-D30,4.35,0.0,0.5,positive_praise,긍정 칭찬,positive,funniest and most infuriating thing ever
145336034,571740,Golf It!,negative,negative,performance,medium,D0-D30,3.75,0.0,0.5,performance,성능,negative,WONT RUN ON MY 7 YEAR OLD LOW END PC
