analysis_status,recommendationid,appid,game_name,review_datetime,release_date,days_from_release,release_period,steam_label_text,playtime_at_review_hours,votes_up,weighted_vote_score,llm_sentiment,sentiment_score,llm_primary_issue,llm_issue_tags,llm_urgency_candidate,llm_review_summary,llm_suggested_action,steam_llm_sentiment_relation
success,144515690,571740,Golf It!,2023-08-18 21:03:00,2023-08-18,0.0,D0-D30,positive,2.9166666666666665,6.0,0.5632224678993225,positive,5.0,positive_praise,"[{""category"": ""positive_praise"", ""sentiment"": ""positive"", ""evidence"": ""I love the game and now that its out of early acces it is even better.""}]",low,정식 출시 이후 게임이 더욱 좋아졌으며 매우 만족함.,현재의 게임 플레이 경험과 정식 출시 버전의 완성도를 유지 및 강화할 것.,exact_match
success,144516841,571740,Golf It!,2023-08-18 21:23:34,2023-08-18,0.0,D0-D30,negative,1.5333333333333334,2.0,0.4926004409790039,negative,1.0,gameplay_loop,"[{""category"": ""gameplay_loop"", ""sentiment"": ""negative"", ""evidence"": ""The way you hit the ball is too inconsistent in comparison to nearly every other golf game to ever exist.""}]",high,골프 게임의 핵심인 타격 방식이 다른 게임들과 비교해 일관성이 없고 부정확함.,타격 메커니즘의 일관성 및 조작감에 대한 사용자 피드백을 정밀 분석하고 개선 방안 검토 필요.,exact_match
success,144522911,571740,Golf It!,2023-08-18 23:21:37,2023-08-18,0.0,D0-D30,positive,1.0,0.0,0.5,mixed,3.0,bug,"[{""category"": ""bug"", ""sentiment"": ""negative"", ""evidence"": ""I was hitting the ball and not moving.""}, {""category"": ""positive_praise"", ""sentiment"": ""positive"", ""evidence"": ""The game is INSANELY fun""}]",medium,"게임은 매우 재미있으나, 공을 쳐도 움직이지 않는 버그가 발생함.",공 타격 시 캐릭터나 공이 반응하지 않는 현상에 대한 버그 리포트 확인 및 재현 테스트 수행.,partial_match
success,144527817,571740,Golf It!,2023-08-19 01:06:16,2023-08-18,1.0,D0-D30,positive,53.05,1.0,0.5,positive,5.0,positive_praise,"[{""category"": ""positive_praise"", ""sentiment"": ""positive"", ""evidence"": ""$9 가격 대비 풍부한 콘텐츠와 맵 메이커 기능에 만족함""}, {""category"": ""content_volume"", ""sentiment"": ""positive"", ""evidence"": ""공식 맵과 워크숍 맵 등 선택지가 매우 많음""}]",low,"9달러라는 가격 대비 콘텐츠가 매우 풍부하며, 특히 맵 메이커 기능과 워크숍 지원이 훌륭함.","현재의 풍부한 콘텐츠와 맵 메이커 기능을 유지하고, 커뮤니티 맵 제작을 지속적으로 장려할 것.",exact_match
success,144536439,571740,Golf It!,2023-08-19 04:08:08,2023-08-18,1.0,D0-D30,positive,131.21666666666667,1.0,0.5,positive,5.0,positive_praise,"[{""category"": ""positive_praise"", ""sentiment"": ""positive"", ""evidence"": ""개발자의 정성이 느껴지며 재플레이 가치가 높고 즐거운 경험을 제공함""}]",low,"개발자의 정성이 느껴지는 훌륭한 게임이며, 재플레이 가치가 높고 즐거움.","현재의 개발 방향성을 유지하고, 플레이어와의 긍정적인 소통을 지속할 것.",exact_match
success,144541515,571740,Golf It!,2023-08-19 06:00:42,2023-08-18,1.0,D0-D30,negative,14.083333333333334,1.0,0.3856563866138458,negative,2.0,other,"[{""category"": ""graphics_audio"", ""sentiment"": ""negative"", ""evidence"": ""경쟁작 대비 시각적 요소가 부족하다고 평가함""}, {""category"": ""gameplay_loop"", ""sentiment"": ""negative"", ""evidence"": ""경쟁작 대비 코스와 물리 엔진이 아쉽다고 평가함""}, {""category"": ""price_value"", ""sentiment"": ""negative"", ""evidence"": ""경쟁작을 구매하는 것이 더 낫다고 언급함""}]",medium,"경쟁작인 'Golf With Your Friends'가 시각적 요소, 코스, 물리 엔진 면에서 더 우월하다고 평가하며 구매를 추천하지 않음.","물리 엔진의 정교함과 시각적 퀄리티 개선을 위한 피드백을 수집하고, 경쟁작 대비 차별화된 게임성 강화 방안 검토.",exact_match
success,144542683,571740,Golf It!,2023-08-19 06:29:06,2023-08-18,1.0,D0-D30,positive,7.316666666666666,3.0,0.5153061151504517,positive,5.0,positive_praise,"[{""category"": ""positive_praise"", ""sentiment"": ""positive"", ""evidence"": ""well made golfing game, enjoyable alone or with friends, community content""}]",low,"친구와 함께하거나 혼자서도 즐길 수 있는 잘 만들어진 골프 게임이며, 커뮤니티 맵과 1.0 업데이트 콘텐츠에 만족함.","현재의 멀티플레이 경험과 커뮤니티 맵 제작 기능을 유지 및 강화하고, 1.0 버전의 안정성을 지속적으로 관리할 것.",exact_match
success,144545071,571740,Golf It!,2023-08-19 07:24:36,2023-08-18,1.0,D0-D30,negative,0.3833333333333333,1.0,0.2747439742088318,negative,1.0,bug,"[{""category"": ""bug"", ""sentiment"": ""negative"", ""evidence"": ""PAUSE menu doesn't actually pause the game timer in single player""}]",high,싱글 플레이 시 일시정지 메뉴를 눌러도 타이머가 멈추지 않는 버그가 있음.,싱글 플레이 모드에서 일시정지 기능이 타이머를 포함한 게임 로직을 정상적으로 멈추도록 수정 필요.,exact_match
success,144569166,571740,Golf It!,2023-08-19 14:37:24,2023-08-18,1.0,D0-D30,positive,29.516666666666666,0.0,0.5,positive,5.0,positive_praise,"[{""category"": ""positive_praise"", ""sentiment"": ""positive"", ""evidence"": ""fun game with friends, lots of custom content, level editor, new assets in 1.0 update""}]",low,"친구와 함께하기 좋고, 1.0 업데이트로 추가된 레벨 에디터와 다양한 에셋이 만족스러운 재미있는 게임.","레벨 에디터와 커뮤니티 콘텐츠 제작 도구를 지속적으로 지원하고, 1.0 업데이트의 긍정적인 반응을 바탕으로 향후 콘텐츠 업데이트 방향성 유지.",exact_match
success,144652684,571740,Golf It!,2023-08-20 16:05:22,2023-08-18,2.0,D0-D30,positive,42.41666666666666,3.0,0.5,positive,5.0,positive_praise,"[{""category"": ""positive_praise"", ""sentiment"": ""positive"", ""evidence"": ""unique entry, feels great, strong contender, amazingly skilled map making community""}, {""category"": ""gameplay_loop"", ""sentiment"": ""positive"", ""evidence"": ""manual power setting via mouse flick, skill check, custom hosting settings""}]",low,"마우스 컨트롤을 통한 정교한 샷 조작과 커뮤니티 맵 제작, 다양한 커스텀 설정이 훌륭한 미니 골프 게임. Golf With Friends의 성공적인 후속작으로 평가함.","현재의 정교한 샷 조작 시스템과 커뮤니티 맵 제작 환경을 유지하고, 컨트롤러와 마우스 간의 밸런스 조정 기능을 지속적으로 모니터링할 것.",exact_match
